Date,Close/Last,Volume,Open,High,Low
05/03/2023,115.9062,1477152,115.6094,116.4844,115.5469
05/02/2023,115.5625,1622020,114.5312,115.6875,114.4688
05/01/2023,114.50,962156,115.4219,115.4219,114.3125
04/28/2023,115.2031,2015974,114.7812,115.4844,114.5469
04/27/2023,114.7344,1439493,115.4219,115.5469,114.6562
04/26/2023,115.5469,1633682,115.75,115.9531,115.3125
04/25/2023,115.7969,1695763,115.0312,115.9375,115.0312
04/24/2023,114.875,791130,114.4688,115.0625,114.4531
04/21/2023,114.4688,1007601,114.7031,115.00,114.4062
04/20/2023,114.6562,1092637,114.25,114.8125,114.2188
04/19/2023,114.1875,1309067,114.4219,114.4531,113.9531
04/18/2023,114.4844,1067024,114.2969,114.6719,114.25
04/17/2023,114.3594,1001059,114.8594,114.9688,114.25
04/14/2023,114.8594,1449795,115.5156,115.7188,114.7188
04/13/2023,115.4531,1169441,115.8906,116.0938,115.3906
04/12/2023,115.7031,1549606,115.4531,116.25,115.25
04/11/2023,115.375,980272,115.4844,115.7812,115.2031
04/10/2023,115.5156,725506,115.7656,115.9844,115.375
04/06/2023,115.7969,319321,116.4375,116.50,115.7188
04/05/2023,116.5781,1446555,116.1719,116.9375,115.9062
04/04/2023,116.25,1385132,115.5781,116.2812,115.0781
04/03/2023,115.4531,1498242,114.9062,115.6719,114.5625
03/31/2023,114.9219,1719478,114.5312,115.1094,114.2812
03/30/2023,114.5781,1055747,114.4688,114.7344,114.2188
03/29/2023,114.5312,1312441,114.5781,114.875,114.2188
03/28/2023,114.6406,1256726,114.9844,115.2344,114.5312
03/27/2023,114.9844,1257841,116.1719,116.2031,114.875
03/24/2023,116.1094,2019577,115.8906,117.0469,115.6719
03/23/2023,115.9844,1779309,115.4531,116.25,115.0312
03/22/2023,115.0938,1689773,114.125,115.6094,113.8125
03/21/2023,114.125,1453881,114.9844,115.4531,114.0625
03/20/2023,115.0938,1901966,115.25,116.75,114.7812
03/17/2023,115.8125,1838911,114.2656,115.9062,114.0469
03/16/2023,114.1875,2731062,115.3281,116.0312,114.1562
03/15/2023,115.125,3637634,113.4844,115.9688,113.2656
03/14/2023,113.8594,3164418,114.375,115.2344,113.2812
03/13/2023,114.6562,4196458,113.1875,115.4062,112.6562
03/10/2023,113.1406,3498033,111.6562,113.3125,111.6406
03/09/2023,111.4844,1785025,110.8125,111.7188,110.7031
03/08/2023,110.9219,2221678,110.9844,111.4531,110.6406
03/07/2023,110.9531,1674946,111.0938,111.4062,110.7344
03/06/2023,110.9844,1276137,111.1094,111.5312,110.9531
03/03/2023,111.0938,1484872,110.5781,111.1562,110.4844
03/02/2023,110.50,1856327,111.0469,111.0625,110.3906
03/01/2023,111.00,1768102,111.5312,111.6094,110.9062
02/28/2023,111.6562,2032678,111.6562,111.7344,111.2031
02/27/2023,111.6094,1360181,111.375,111.7969,111.1875
02/24/2023,111.4062,2078180,111.9219,112.0938,111.1406
02/23/2023,111.4375,3833968,111.2031,111.5312,110.7969
02/22/2023,111.2031,4005057,111.0625,111.4531,110.9531
02/21/2023,111.0625,2709188,111.9844,112.0156,110.9844
02/17/2023,112.00,1547810,111.7344,112.0781,111.2656
02/16/2023,111.8906,1951719,112.0312,112.3594,111.6406
02/15/2023,112.0469,1768330,112.4062,112.5625,111.9688
02/14/2023,112.3281,2330597,112.875,113.5469,112.0938
02/13/2023,112.7812,1106091,112.6406,112.8906,112.5312
