Date,Close/Last,Volume,Open,High,Low
05/03/2023,21.315,100606,21.26,21.315,21.23
05/02/2023,21.2201,14601,21.08,21.24,21.08
05/01/2023,21.0304,1928,21.11,21.11,21.0213
04/28/2023,21.27,178030,21.26,21.289,21.24
04/27/2023,21.1551,102917,21.18,21.1913,21.1401
04/26/2023,21.275,6510,21.331,21.35,21.24
04/25/2023,21.335,45119,21.32,21.335,21.27
04/24/2023,21.18,34390,21.179,21.19,21.16
04/21/2023,21.115,6247,21.12,21.1398,21.101
04/20/2023,21.1301,5699,21.12,21.16,21.12
04/19/2023,21.055,5459,21.07,21.07,21.0349
04/18/2023,21.085,63295,21.099,21.1152,21.07
04/17/2023,21.075,12394,21.085,21.09,21.05
04/14/2023,21.145,5388,21.16,21.18,21.13
04/13/2023,21.24,8671,21.3361,21.3361,21.23
04/12/2023,21.275,2702,21.26,21.28,21.24
04/11/2023,21.245,37742,21.2793,21.2793,21.22
04/10/2023,21.26,8610,21.26,21.28,21.245
04/06/2023,21.39,20252,21.38,21.42,21.38
04/05/2023,21.405,51706,21.41,21.44,21.39
04/04/2023,21.34,36431,21.205,21.35,21.205
04/03/2023,21.235,729267,21.23,21.26,21.21
03/31/2023,21.23,582941,21.19,21.239,21.14
03/30/2023,21.1476,4438,21.11,21.15,21.09
03/29/2023,21.1094,28404,21.11,21.13,21.0614
03/28/2023,21.13,19128,21.10,21.14,21.10
03/27/2023,21.155,36027,21.20,21.23,21.155
03/24/2023,21.335,761,21.35,21.35,21.335
03/23/2023,21.32,8931,21.22,21.32,21.21
03/22/2023,21.2477,35588,21.06,21.2477,21.06
03/21/2023,21.065,16294,21.09,21.11,21.0395
03/20/2023,21.1895,739762,21.22,21.22,21.18
03/17/2023,21.27,20825,21.27,21.2953,21.26
03/16/2023,21.085,69822,21.30,21.30,21.07
03/15/2023,21.2168,30554,21.291,21.32,21.19
03/14/2023,20.9951,2613,20.98,21.03,20.98
03/13/2023,21.1393,3650,21.1833,21.20,21.12
03/10/2023,20.9401,26993,20.8903,20.9401,20.84
03/09/2023,20.6751,13991,20.645,20.68,20.61
03/08/2023,20.595,4410,20.679,20.68,20.57
03/07/2023,20.60,355929,20.62,20.652,20.60
03/06/2023,20.615,3729,20.64,20.64,20.60
03/03/2023,20.6343,27539,20.594,20.64,20.58
03/02/2023,20.5152,8691,20.49,20.52,20.49
03/01/2023,20.57,4292,20.619,20.619,20.57
02/28/2023,20.7151,24241,20.709,20.72,20.69
02/27/2023,20.705,1192,20.709,20.71,20.6909
02/24/2023,20.675,3692,20.69,20.69,20.66
02/23/2023,20.78,19694,20.74,20.789,20.74
02/22/2023,20.71,42147,20.73,20.76,20.71
02/21/2023,20.675,1921,20.70,20.729,20.675
02/17/2023,20.8051,5753,20.77,20.82,20.77
02/16/2023,20.7661,9894,20.78,20.81,20.75
02/15/2023,20.816,90120,20.86,20.868,20.81
02/14/2023,20.875,7369,20.86,20.89,20.85
02/13/2023,20.923,37843,20.92,20.924,20.91
02/10/2023,20.89,2972,20.925,20.93,20.89
02/09/2023,20.96,3933,21.06,21.08,20.96
02/08/2023,21.0201,11778,20.9887,21.03,20.97
02/07/2023,21.00,132531,21.031,21.05,21.00
02/06/2023,21.04,28103,21.06,21.06,21.03
02/03/2023,21.13,4477,21.1163,21.17,21.1163
02/02/2023,21.295,4336,21.33,21.349,21.29
02/01/2023,21.265,8991,21.20,21.27,21.171
01/31/2023,21.2092,206515,21.21,21.21,21.16
01/30/2023,21.16,13101,21.18,21.20,21.1403
01/27/2023,21.209,1306,21.198,21.209,21.19
01/26/2023,21.2249,3483,21.22,21.248,21.21
01/25/2023,21.255,24096,21.27,21.29,21.23
01/24/2023,21.25,6165,21.15,21.2599,21.15
01/23/2023,21.1619,32708,21.17,21.17,21.15
01/20/2023,21.204,134581,21.20,21.2299,21.1871
01/19/2023,21.3099,2389,21.33,21.33,21.29
01/18/2023,21.35,2395,21.31,21.35,21.28
01/17/2023,21.1649,64252,21.16,21.19,21.15
01/13/2023,21.17,37701,21.24,21.24,21.16
01/12/2023,21.255,24869,21.14,21.259,21.14
01/11/2023,21.105,13838,21.075,21.109,21.07
01/10/2023,21.012,22196,21.055,21.055,20.99
01/09/2023,21.09,84229,21.124,21.13,21.09
01/06/2023,21.075,2354,21.03,21.075,21.03
01/05/2023,20.89,18321,20.825,20.89,20.825
01/04/2023,20.905,40117,20.881,20.91,20.88
01/03/2023,20.8014,19492,20.859,20.859,20.79
12/30/2022,20.70,92096,20.676,20.76,20.676
12/29/2022,20.77,3085,20.7108,20.773,20.7108
12/28/2022,20.695,37199,20.74,20.74,20.69
12/27/2022,20.735,3677,20.75,20.75,20.7206
12/23/2022,20.86,28188,20.887,20.889,20.85
12/22/2022,20.94,44620,20.96,20.97,20.94
12/21/2022,20.945,7617,20.98,20.98,20.93
12/20/2022,20.925,25961,20.95,20.95,20.91
12/19/2022,21.01,29227,21.04,21.05,21.01
12/16/2022,21.1496,7871,21.10,21.1616,21.10
12/15/2022,21.235,39839,21.23,21.27,21.23
12/14/2022,21.24,19675,21.20,21.24,21.15
12/13/2022,21.1751,46100,21.259,21.259,21.1751
12/12/2022,21.0544,26859,21.15,21.15,21.045
12/09/2022,21.0699,5563,21.11,21.11,21.0699
12/08/2022,21.19,13322,21.22,21.22,21.163
12/07/2022,21.24,5077,21.21,21.24,21.20
12/06/2022,21.1085,756796,21.077,21.11,21.05
12/05/2022,21.015,22543,21.026,21.06,21.01
12/02/2022,21.1315,25418,21.06,21.1315,21.05
12/01/2022,21.0738,7789,20.9841,21.0738,20.9841
11/30/2022,20.9392,16582,20.86,20.9392,20.82
11/29/2022,20.88,192701,20.8688,20.911,20.8688
11/28/2022,20.92,3849,20.93,20.93,20.8986
11/25/2022,20.8983,1635,20.89,20.90,20.89
11/23/2022,20.905,29019,20.88,20.905,20.87
11/22/2022,20.81,14475,20.808,20.825,20.792
11/21/2022,20.74,37343,20.79,20.79,20.73
11/18/2022,20.745,6029,20.79,20.79,20.74
11/17/2022,20.795,10546,20.80,20.81,20.78
11/16/2022,20.8785,3418,20.815,20.89,20.81
11/15/2022,20.751,12060,20.71,20.751,20.70
11/14/2022,20.6501,80161,20.65,20.66,20.63
11/11/2022,20.695,1820,20.70,20.70,20.67
11/10/2022,20.71,143,20.71,20.71,20.71
11/09/2022,20.405,24667,20.42,20.42,20.365
11/08/2022,20.375,1745,20.38,20.38,20.36
11/07/2022,20.295,8409,20.31,20.3329,20.295
11/04/2022,20.3549,19581,20.391,20.391,20.3476
11/03/2022,20.41,4789,20.35,20.41,20.35
11/02/2022,20.44,10335,20.502,20.546,20.44
11/01/2022,20.4601,2411,20.48,20.48,20.4538
10/31/2022,20.4667,712441,20.5135,20.5135,20.4667
10/28/2022,20.5551,3662,20.566,20.59,20.54
10/27/2022,20.6162,3606,20.55,20.64,20.55
10/26/2022,20.5201,44983,20.53,20.54,20.50
10/25/2022,20.45,4161,20.42,20.478,20.42
10/24/2022,20.30,12197,20.30,20.35,20.275
10/21/2022,20.3422,23207,20.28,20.35,20.28
10/20/2022,20.335,3956,20.415,20.43,20.335
10/19/2022,20.46,53639,20.49,20.5073,20.43
10/18/2022,20.565,6333,20.578,20.59,20.51
10/17/2022,20.56,12078,20.62,20.64,20.56
10/14/2022,20.5547,471258,20.63,20.63,20.53
10/13/2022,20.58,19001,20.52,20.63,20.52
10/12/2022,20.675,5820,20.63,20.68,20.63
10/11/2022,20.6494,19221,20.63,20.72,20.63
10/10/2022,20.665,45017,20.76,20.76,20.58
10/07/2022,20.698,148408,20.681,20.73,20.6731
10/06/2022,20.77,46167,20.80,20.81,20.762
10/05/2022,20.825,5837,20.88,20.88,20.81
10/04/2022,20.935,8156,20.93,20.96,20.93
10/03/2022,20.8908,17021,20.88,20.98,20.88
09/30/2022,20.81,1110941,20.93,20.93,20.81
09/29/2022,20.89,31926,20.86,20.90,20.845
09/28/2022,20.93,38732,20.77,20.93,20.77
09/27/2022,20.6796,24233,20.75,20.7567,20.6796
09/26/2022,20.78,1042,20.885,20.90,20.78
