X.Y..m..d,CPI
31/01/1913,9.8
28/02/1913,9.8
31/03/1913,9.8
30/04/1913,9.8
31/05/1913,9.7
30/06/1913,9.8
31/07/1913,9.9
31/08/1913,9.9
30/09/1913,10
31/10/1913,10
30/11/1913,10.1
31/12/1913,10
31/01/1914,10
28/02/1914,9.9
31/03/1914,9.9
30/04/1914,9.8
31/05/1914,9.9
30/06/1914,9.9
31/07/1914,10
31/08/1914,10.2
30/09/1914,10.2
31/10/1914,10.1
30/11/1914,10.2
31/12/1914,10.1
31/01/1915,10.1
28/02/1915,10
31/03/1915,9.9
30/04/1915,10
31/05/1915,10.1
30/06/1915,10.1
31/07/1915,10.1
31/08/1915,10.1
30/09/1915,10.1
31/10/1915,10.2
30/11/1915,10.3
31/12/1915,10.3
31/01/1916,10.4
29/02/1916,10.4
31/03/1916,10.5
30/04/1916,10.6
31/05/1916,10.7
30/06/1916,10.8
31/07/1916,10.8
31/08/1916,10.9
30/09/1916,11.1
31/10/1916,11.3
30/11/1916,11.5
31/12/1916,11.6
31/01/1917,11.7
28/02/1917,12
31/03/1917,12
30/04/1917,12.6
31/05/1917,12.8
30/06/1917,13
31/07/1917,12.8
31/08/1917,13
30/09/1917,13.3
31/10/1917,13.5
30/11/1917,13.5
31/12/1917,13.7
31/01/1918,14
28/02/1918,14.1
31/03/1918,14
30/04/1918,14.2
31/05/1918,14.5
30/06/1918,14.7
31/07/1918,15.1
31/08/1918,15.4
30/09/1918,15.7
31/10/1918,16
30/11/1918,16.3
31/12/1918,16.5
31/01/1919,16.5
28/02/1919,16.2
31/03/1919,16.4
30/04/1919,16.7
31/05/1919,16.9
30/06/1919,16.9
31/07/1919,17.4
31/08/1919,17.7
30/09/1919,17.8
31/10/1919,18.1
30/11/1919,18.5
31/12/1919,18.9
31/01/1920,19.3
29/02/1920,19.5
31/03/1920,19.7
30/04/1920,20.3
31/05/1920,20.6
30/06/1920,20.9
31/07/1920,20.8
31/08/1920,20.3
30/09/1920,20
31/10/1920,19.9
30/11/1920,19.8
31/12/1920,19.4
31/01/1921,19
28/02/1921,18.4
31/03/1921,18.3
30/04/1921,18.1
31/05/1921,17.7
30/06/1921,17.6
31/07/1921,17.7
31/08/1921,17.7
30/09/1921,17.5
31/10/1921,17.5
30/11/1921,17.4
31/12/1921,17.3
31/01/1922,16.9
28/02/1922,16.9
31/03/1922,16.7
30/04/1922,16.7
31/05/1922,16.7
30/06/1922,16.7
31/07/1922,16.8
31/08/1922,16.6
30/09/1922,16.6
31/10/1922,16.7
30/11/1922,16.8
31/12/1922,16.9
31/01/1923,16.8
28/02/1923,16.8
31/03/1923,16.8
30/04/1923,16.9
31/05/1923,16.9
30/06/1923,17
31/07/1923,17.2
31/08/1923,17.1
30/09/1923,17.2
31/10/1923,17.3
30/11/1923,17.3
31/12/1923,17.3
31/01/1924,17.3
29/02/1924,17.2
31/03/1924,17.1
30/04/1924,17
31/05/1924,17
30/06/1924,17
31/07/1924,17.1
31/08/1924,17
30/09/1924,17.1
31/10/1924,17.2
30/11/1924,17.2
31/12/1924,17.3
31/01/1925,17.3
