Index,EURO_Bitstamp_BTCEUR_Raw,EURO_Bitstamp_ETHEUR_Raw,EURO_Bitstamp_LTCEUR_Raw,EURO_Exmo_BTCEUR_Raw,EURO_Exmo_ETHEUR_Raw,EURO_Exmo_LTCEUR_Raw,EURO_Kraken_BTCEUR_Raw,EURO_Kraken_ETHEUR_Raw,EURO_Kraken_LTCEUR_Raw
01/01/2019 00:00,3250.37,115.66,26.32,3250.37,115.66,26.32,3250.37,115.66,26.32
01/01/2019 01:00,3228.05,115.08,26.05,3228.05,115.08,26.05,3228.05,115.08,26.05
01/01/2019 02:00,3225,114.29,26.05,3225,114.29,26.05,3225,114.29,26.05
01/01/2019 03:00,3240.45,115.3,26.07,3240.45,115.3,26.07,3240.45,115.3,26.07
01/01/2019 04:00,3242.27,117.12,26.17,3242.27,117.12,26.17,3242.27,117.12,26.17
01/01/2019 05:00,3249.68,116.44,26.17,3249.68,116.44,26.17,3249.68,116.44,26.17
01/01/2019 06:00,3250.84,116.98,26.33,3250.84,116.98,26.33,3250.84,116.98,26.33
01/01/2019 07:00,3262.02,116.99,26.62,3262.02,116.99,26.62,3262.02,116.99,26.62
01/01/2019 08:00,3265.01,118.64,26.65,3265.01,118.64,26.65,3265.01,118.64,26.65
01/01/2019 09:00,3247,117.72,26.62,3247,117.72,26.62,3247,117.72,26.62
01/01/2019 10:00,3264.98,117.17,26.7,3264.98,117.17,26.7,3264.98,117.17,26.7
01/01/2019 11:00,3258.62,117.52,26.85,3258.62,117.52,26.85,3258.62,117.52,26.85
01/01/2019 12:00,3258.5,118,26.77,3258.5,118,26.77,3258.5,118,26.77
01/01/2019 13:00,3262.32,118.32,26.95,3262.32,118.32,26.95,3262.32,118.32,26.95
01/01/2019 14:00,3245,117.71,26.7,3245,117.71,26.7,3245,117.71,26.7
01/01/2019 15:00,3235.54,117,26.41,3235.54,117,26.41,3235.54,117,26.41
01/01/2019 16:00,3244.01,117.21,26.55,3244.01,117.21,26.55,3244.01,117.21,26.55
01/01/2019 17:00,3238.71,116.96,26.59,3238.71,116.96,26.59,3238.71,116.96,26.59
01/01/2019 18:00,3205.3,115.62,26.32,3205.3,115.62,26.32,3205.3,115.62,26.32
01/01/2019 19:00,3249.6,119.33,26.72,3249.6,119.33,26.72,3249.6,119.33,26.72
01/01/2019 20:00,3259.55,121.59,27.46,3259.55,121.59,27.46,3259.55,121.59,27.46
01/01/2019 21:00,3263.59,120.88,27.32,3263.59,120.88,27.32,3263.59,120.88,27.32
01/01/2019 22:00,3260.21,121.02,27.28,3260.21,121.02,27.28,3260.21,121.02,27.28
01/01/2019 23:00,3342.3,122.09,27.77,3342.3,122.09,27.77,3342.3,122.09,27.77
02/01/2019 00:00,3329.97,122.34,27.74,3329.97,122.34,27.74,3329.97,122.34,27.74
02/01/2019 01:00,3330.66,121.42,27.7,3330.66,121.42,27.7,3330.66,121.42,27.7
02/01/2019 02:00,3334.08,121.72,27.75,3334.08,121.72,27.75,3334.08,121.72,27.75
02/01/2019 03:00,3330.14,122.43,27.84,3330.14,122.43,27.84,3330.14,122.43,27.84
02/01/2019 04:00,3329.97,122.93,27.69,3329.97,122.93,27.69,3329.97,122.93,27.69
02/01/2019 05:00,3322.95,122.09,27.64,3322.95,122.09,27.64,3322.95,122.09,27.64
02/01/2019 06:00,3304.42,122.28,27.49,3304.42,122.28,27.49,3304.42,122.28,27.49
02/01/2019 07:00,3319.01,126.3,27.75,3319.01,126.3,27.75,3319.01,126.3,27.75
02/01/2019 08:00,3336.49,127.63,27.98,3336.49,127.63,27.98,3336.49,127.63,27.98
02/01/2019 09:00,3331.04,127.57,28.12,3331.04,127.57,28.12,3331.04,127.57,28.12
02/01/2019 10:00,3339.16,130.55,28.2,3339.16,130.55,28.2,3339.16,130.55,28.2
02/01/2019 11:00,3341.22,130.17,28.34,3341.22,130.17,28.34,3341.22,130.17,28.34
02/01/2019 12:00,3336.18,130.68,28.26,3336.18,130.68,28.26,3336.18,130.68,28.26
02/01/2019 13:00,3385,133.99,28.7,3385,133.99,28.7,3385,133.99,28.7
02/01/2019 14:00,3372.77,133.57,28.48,3372.77,133.57,28.48,3372.77,133.57,28.48
02/01/2019 15:00,3374.68,131.24,28.36,3374.68,131.24,28.36,3374.68,131.24,28.36
02/01/2019 16:00,3398.48,132.72,28.9,3398.48,132.72,28.9,3398.48,132.72,28.9
